309,50766212
319,50006673
265,62633385
314,99089438
275,60104271
247,94904555
307,77212767
269,54754136
264,44046128
315,47858814
278,38071688
332,78729284
291,51565981
315,16150437
337,07939242
321,18503969
318,56951597
266,82266587
285,03999898
331,01879218
266,58661929
314,69442429
314,18415132
308,26663726
316,77775595
296,77472278
291,99678245
316,58392696
306,0851202
298,10276078
329,27895379
268,41889074
310,07340663
241,81739373
327,59805033
275,22174377
296,18451078
334,95156859
320,41693743
272,35124231
295,78884860
293,48821030
284,09150030
312,94097349
280,22925609
271,27895562
254,57837302
300,09128029
348,90760928
336,85822418
292,03025440
294,47705810
275,25775664
289,40433872
299,24980335
289,31698777
338,98621883
270,50400792
272,78038230
273,49915215
317,72856892
257,05589788
297,19012445
284,45823964
275,27970859
296,55974498
301,28555845
287,51911105
286,79085857
327,73594220
277,41455192
308,62362056
306,24939592
275,20557453
312,25483335
294,56627560
313,19161493
343,42590533
255,59687027
286,11857025
307,99566036
314,35500423
349,43627383
308,09966353
300,36535084
348,46675346
299,52050320
309,37416769
264,60818467
281,39863871
300,26199380
335,14202968
333,00733128
331,83789136
312,08958585
285,20309822
329,54508427
286,92206603
292,06103959
310,21747894
356,91442729
296,19711848
309,24595722
267,18972013
285,54848366
278,61756078
316,61963270
294,06345818
355,83690159
308,32838693
298,18831101
321,88311823
305,89475184
348,55483345
266,04987932
316,60677965
310,42480302
326,76504806
319,47895735
294,74800801
305,06826163
283,13030529
326,96708445
315,96405176
284,81303895
310,60700366
327,24822031
275,89922702
295,75883609
302,25449810
287,30093602
321,72725275
305,02280738
291,71109204
305,08786174
290,59599797
306,02355429
298,67239655
321,95192331
284,40107549
335,42965407
267,30582969
288,86638676
306,91710160
325,83036463
295,27521238
289,70322767
288,01039113
331,57728726
283,40007258
327,73648489
285,66407118
293,70563362
310,29660384
292,72363383
280,49975224
320,01991542
280,18393356
301,37013286
290,08135841
265,51258135
287,16693077
328,16431618
248,46828214
300,82583786
302,57456261
304,32560623
335,61741809
264,39055521
316,93197089
346,86616480
348,60576264
299,15885308
291,36094633
320,93744647
329,40710778
284,35757052
296,59780684
284,88890669
277,09974145
297,51772209
286,51264783
299,49380068
296,40649616
290,00231581
255,44057797
295,28730534
320,94331000
320,93437838
293,94822158
312,95842812
284,44794242
326,04899801
351,50427044
331,17078477
269,07662467
298,12698473
292,19081015
321,86803515
324,13708790
283,69308099
288,94271941
310,71619007
283,80864601
302,79247175
270,94154424
341,85928165
272,57802831
281,89820997
289,54858909
304,92650907
322,86173945
284,23018548
294,00061406
331,08906735
340,59302543
281,69747165
314,96687327
305,47571875
299,97674413
357,00868399
294,63925154
